x,y,p_xx,p_xy,p_yy
0.000566925,0.00115182,0.00247629,0,0.0024547
0.000566017,0.00114919,0.00263842,0,0.00245751
0.000611093,0.00115114,0.00276369,0,0.00245633
0.00062993,0.00115329,0.00284951,0,0.00245732
0.000656378,0.00115711,0.00296805,0,0.00246089
0.000700314,0.00116103,0.00304754,0,0.00245523
0.000702275,0.00116213,0.00313899,0,0.00246055
0.000723381,0.00116292,0.00327775,0,0.00245724
0.000747863,0.00116934,0.0033654,0,0.00245552
0.000856732,0.00117829,0.00344913,0,0.00245474
0.000908157,0.00118804,0.00355869,0,0.00245768
0.0010054,0.00119285,0.00367967,0,0.00245841
0.00104495,0.00119566,0.00376525,0,0.00246112
0.00103484,0.00119283,0.00390448,0,0.0024585
0.000982961,0.00118798,0.00402873,0,0.00246328
0.000929036,0.00117995,0.00411844,0,0.00246086
0.000857124,0.00117299,0.00422233,0,0.00246045
0.000781558,0.00117358,0.0042763,0,0.00246656
0.000676058,0.00117935,0.00436151,0,0.00246256
0.000588373,0.00118312,0.00447701,0,0.00246789
0.000568309,0.00119245,0.00457075,0,0.00247246
0.000566568,0.00119691,0.00469649,0,0.00247114
0.000595105,0.00120729,0.00484279,0,0.00247565
0.000542119,0.00120804,0.00497073,0,0.00247568
0.000455365,0.00121119,0.00510402,0,0.00247508
0.000356224,0.00120322,0.00520799,0,0.00248083
0.000253659,0.00119764,0.00537021,0,0.00247823
0.000104156,0.00118896,0.00550361,0,0.00247969
-3.01182e-05,0.00117955,0.00568423,0,0.00248033
-0.000105177,0.00116909,0.00575453,0,0.00248076
-9.28511e-05,0.00116379,0.00581011,0,0.00248025
-7.97241e-05,0.00116276,0.00600923,0,0.00248451
8.46581e-06,0.00115949,0.0060973,0,0.00248561
0.000107948,0.00114632,0.00619195,0,0.00248417
0.000202854,0.00112922,0.00636639,0,0.00248233
0.000271781,0.00111135,0.00640134,0,0.00247792
0.000330682,0.00109799,0.00658366,0,0.00247367
0.000383837,0.00108067,0.00661031,0,0.00246943
0.000391417,0.00106658,0.00671599,0,0.00247346
0.000404391,0.00104971,0.00686207,0,0.00247595
0.000497843,0.00103933,0.00697859,0,0.00247428
0.00059775,0.0010344,0.0070412,0,0.00247437
0.000685614,0.00102611,0.00720747,0,0.00247936
0.000765777,0.00101659,0.00735056,0,0.00247936
0.000832425,0.00100652,0.00746498,0,0.00247596
0.000919848,0.000995434,0.00749768,0,0.00248023
0.000997068,0.000990133,0.00771242,0,0.00247789
0.00112354,0.000980806,0.00783515,0,0.00247897
0.001217,0.000965959,0.00785188,0,0.00247975
0.00121554,0.000962227,0.00794558,0,0.00247752
0.00118141,0.000961425,0.00806794,0,0.00247693
0.00114499,0.000964725,0.00816711,0,0.00248002
0.00116563,0.000974489,0.00818515,0,0.00248095
0.00114762,0.000982772,0.00818174,0,0.00247852
0.00103567,0.00098724,0.00825836,0,0.00247822
0.000897661,0.00099101,0.00841194,0,0.0024763
