x,y,p_xx,p_xy,p_yy
0,0,1.00241,0,1.00241
0,0,1.00562,0,1.00562
0,0,1.00965,0,1.00965
0,0,1.01453,0,1.01453
0,0,1.02027,0,1.02027
0,0,1.02687,0,1.02687
0,0,1.03437,0,1.03437
0,0,1.04276,0,1.04276
0,0,1.05208,0,1.05208
0,0,1.06234,0,1.06234
0,0,1.07355,0,1.07355
0,0,1.08572,0,1.08572
0,0,1.09887,0,1.09887
0,0,1.11302,0,1.11302
0,0,1.12818,0,1.12818
0,0,1.1446,0,1.1446
0,0,1.16166,0,1.16166
0,0,1.17997,0,1.17997
0,0,1.19936,0,1.19936
0,0,1.21984,0,1.21984
0,0,1.24144,0,1.24144
0,0,1.26417,0,1.26417
0,0,1.28805,0,1.28805
0,0,1.31308,0,1.31308
0,0,1.3393,0,1.3393
0,0,1.3667,0,1.3667
0,0,1.39531,0,1.39531
0,0,1.42515,0,1.42515
0,0,1.45627,0,1.45627
0,0,1.48867,0,1.48867
0,0,1.5222,0,1.5222
0,0,1.55711,0,1.55711
0,0,1.59331,0,1.59331
0,0,1.63082,0,1.63082
0,0,1.66966,0,1.66966
0,0,1.70988,0,1.70988
0,0,1.75145,0,1.75145
0,0,1.79444,0,1.79444
0,0,1.83879,0,1.83879
0,0,1.88457,0,1.88457
0,0,1.93174,0,1.93174
0,0,1.9804,0,1.9804
0,0,2.03052,0,2.03052
0,0,2.08206,0,2.08206
0,0,2.13519,0,2.13519
0,0,2.18977,0,2.18977
0,0,2.246,0,2.246
0,0,2.30367,0,2.30367
0,0,2.36289,0,2.36289
0,0,2.42367,0,2.42367
0,0,2.48612,0,2.48612
0,0,2.55013,0,2.55013
0,0,2.61574,0,2.61574
0,0,2.68302,0,2.68302
0,0,2.75194,0,2.75194
0,0,2.82255,0,2.82255
0,0,2.89483,0,2.89483
0,0,2.96882,0,2.96882
0,0,3.04467,0,3.04467
0,0,3.122,0,3.122
0,0,3.20124,0,3.20124
0,0,3.28224,0,3.28224
0,0,3.36494,0,3.36494
0,0,3.4495,0,3.4495
0,0,3.53591,0,3.53591
0,0,3.62416,0,3.62416
0,0,3.71423,0,3.71423
0,0,3.8061,0,3.8061
0,0,3.89987,0,3.89987
0,0,3.99551,0,3.99551
0,0,4.09309,0,4.09309
0,0,4.19278,0,4.19278
0,0,4.29437,0,4.29437
0,0,4.39757,0,4.39757
0,0,4.50298,0,4.50298
0,0,4.61055,0,4.61055
0,0,4.71998,0,4.71998
0,0,4.83131,0,4.83131
0,0,4.94478,0,4.94478
0,0,5.06026,0,5.06026
0,0,5.17794,0,5.17794
0,0,5.29781,0,5.29781
0,0,5.41935,0,5.41935
0,0,5.54328,0,5.54328
0,0,5.66937,0,5.66937
0,0,5.79763,0,5.79763
0,0,5.92801,0,5.92801
0,0,6.0605,0,6.0605
0,0,6.19521,0,6.19521
0,0,6.33216,0,6.33216
0,0,6.47154,0,6.47154
0,0,6.61296,0,6.61296
0,0,6.75664,0,6.75664
0,0,6.9028,0,6.9028
0,0,7.05095,0,7.05095
0.00625567,-1.93687e-07,0.0776429,0,0.0776429
0.00632151,-2.87349e-07,0.0799106,0,0.0799106
0.00650121,-4.77372e-07,0.0404725,0,0.0404725
0.00659371,-6.45898e-07,0.0426068,0,0.0426068
0.00644236,-2.64725e-07,0.0286655,0,0.0286655
0.00645566,-2.73886e-07,0.0307794,0,0.0307794
