x,y,p_xx,p_xy,p_yy,landmark_detected
-0.00487563,0,0.1,0,0.1,0
-0.00487563,0,0.1,0,0.1,0
-0.00485558,7.45919e-07,0.10001,3.41064e-07,0.100001,0
-0.00485558,7.45919e-07,0.10001,3.41064e-07,0.100001,0
-0.0048144,2.26822e-06,0.100021,6.86997e-07,0.100002,0
-0.0048144,2.26822e-06,0.100021,6.86997e-07,0.100002,0
-0.00476051,4.22933e-06,0.100031,1.03167e-06,0.100003,0
-0.00476051,4.22933e-06,0.100031,1.03167e-06,0.100003,0
-0.00457249,1.11434e-05,0.100043,1.42408e-06,0.100004,0
-0.00457249,1.11434e-05,0.100043,1.42408e-06,0.100004,0
-0.00448135,1.44172e-05,0.100054,1.77618e-06,0.100005,0
-0.00436871,1.83646e-05,0.100065,2.12632e-06,0.100007,0
-0.00436871,1.83646e-05,0.100065,2.12632e-06,0.100007,0
-0.004339,1.93915e-05,0.100075,2.44612e-06,0.100008,0
-0.004339,1.93915e-05,0.100075,2.44612e-06,0.100008,0
-0.00429178,2.1041e-05,0.100086,2.77485e-06,0.100009,0
-0.00429178,2.1041e-05,0.100086,2.77485e-06,0.100009,0
-0.00420979,2.39058e-05,0.100097,3.11433e-06,0.10001,0
-0.00420979,2.39058e-05,0.100097,3.11433e-06,0.10001,0
-0.0040399,2.99096e-05,0.100108,3.48507e-06,0.100011,0
-0.0040399,2.99096e-05,0.100108,3.48507e-06,0.100011,0
-0.0040076,3.10598e-05,0.100119,3.81525e-06,0.100012,0
-0.00398807,3.17486e-05,0.100129,4.13843e-06,0.100013,0
-0.00398807,3.17486e-05,0.100129,4.13843e-06,0.100013,0
-0.00397863,3.20747e-05,0.100139,4.45176e-06,0.100014,0
-0.00397863,3.20747e-05,0.100139,4.45176e-06,0.100014,0
-0.00386184,3.6096e-05,0.10015,4.79667e-06,0.100015,0
-0.00386184,3.6096e-05,0.10015,4.79667e-06,0.100015,0
-0.00385794,3.62304e-05,0.10016,5.10784e-06,0.100016,0
-0.00385794,3.62304e-05,0.10016,5.10784e-06,0.100016,0
-0.00379638,3.83759e-05,0.100171,5.43998e-06,0.100017,0
-0.00379638,3.83759e-05,0.100171,5.43998e-06,0.100017,0
-0.00372019,4.10927e-05,0.100181,5.7843e-06,0.100018,0
-0.00372019,4.10927e-05,0.100181,5.7843e-06,0.100018,0
-0.00367386,4.27794e-05,0.100192,6.12633e-06,0.10002,0
-0.00367386,4.27794e-05,0.100192,6.12633e-06,0.10002,0
-0.00357419,4.64221e-05,0.100203,6.48668e-06,0.100021,0
-0.00355875,4.69996e-05,0.100213,6.82796e-06,0.100022,0
-0.00355875,4.69996e-05,0.100213,6.82796e-06,0.100022,0
-0.00352065,4.84548e-05,0.100223,7.18385e-06,0.100023,0
-0.00345474,5.094e-05,0.100234,7.54443e-06,0.100024,0
-0.0313444,0.03038,0.053902,0.0252359,0.0537326,1
-0.0313268,0.0303806,0.0539121,0.0252366,0.0537345,0
-0.0313268,0.0303806,0.0539121,0.0252366,0.0537345,0
-0.031308,0.0303812,0.0539223,0.0252374,0.0537365,0
-0.0312453,0.0303834,0.0539328,0.0252393,0.0537408,0
-0.0312453,0.0303834,0.0539328,0.0252393,0.0537408,0
-0.0311262,0.0303874,0.0539438,0.0252425,0.053748,0
-0.0311262,0.0303874,0.0539438,0.0252425,0.053748,0
-0.0310613,0.0303896,0.0539543,0.0252445,0.0537523,0
-0.0310613,0.0303896,0.0539543,0.0252445,0.0537523,0
-0.0310409,0.0303903,0.0539645,0.0252453,0.0537544,0
-0.0310271,0.0303908,0.0539746,0.0252459,0.0537561,0
-0.0310271,0.0303908,0.0539746,0.0252459,0.0537561,0
-0.0310009,0.0303917,0.0539848,0.0252469,0.0537585,0
-0.0310009,0.0303917,0.0539848,0.0252469,0.0537585,0
-0.0310009,0.0303917,0.0539848,0.0252469,0.0537585,0
-0.0309388,0.0303937,0.0539953,0.0252487,0.0537627,0
-0.0309319,0.0303939,0.0540053,0.0252492,0.0537641,0
-0.0309319,0.0303939,0.0540053,0.0252492,0.0537641,0
-0.0309319,0.0303939,0.0540053,0.0252492,0.0537641,0
-0.0308982,0.030395,0.0540156,0.0252503,0.0537668,0
-0.0308982,0.030395,0.0540156,0.0252503,0.0537668,0
-0.0308535,0.0303965,0.054026,0.0252517,0.0537702,0
-0.0308535,0.0303965,0.054026,0.0252517,0.0537702,0
-0.0307752,0.0303992,0.0540366,0.025254,0.0537752,0
-0.0307236,0.030401,0.054047,0.0252556,0.0537789,0
-0.0307236,0.030401,0.054047,0.0252556,0.0537789,0
-0.0307136,0.0304013,0.0540571,0.0252561,0.0537804,0
-0.0307136,0.0304013,0.0540571,0.0252561,0.0537804,0
-0.0306545,0.0304034,0.0540676,0.0252579,0.0537845,0
-0.0305748,0.030406,0.0540782,0.0252602,0.0537896,0
-0.0305748,0.030406,0.0540782,0.0252602,0.0537896,0
-0.0305748,0.030406,0.0540782,0.0252602,0.0537896,0
-0.0305118,0.0304081,0.0540887,0.0252621,0.0537939,0
-0.0305118,0.0304081,0.0540887,0.0252621,0.0537939,0
-0.0304853,0.030409,0.0540989,0.025263,0.0537963,0
-0.0304562,0.03041,0.0541092,0.0252641,0.0537988,0
-0.0304562,0.03041,0.0541092,0.0252641,0.0537988,0
-0.0304465,0.0304103,0.0541192,0.0252646,0.0538003,0
-0.0304465,0.0304103,0.0541192,0.0252646,0.0538003,0
-0.0303375,0.030414,0.0541301,0.0252676,0.053807,0
-0.0303308,0.0304143,0.0541402,0.0252681,0.0538084,0
-0.0303308,0.0304143,0.0541402,0.0252681,0.0538084,0
-0.0303259,0.0304144,0.0541502,0.0252685,0.0538096,0
-0.0303259,0.0304144,0.0541502,0.0252685,0.0538096,0
-0.0302317,0.0304176,0.054161,0.0252712,0.0538155,0
-0.0302317,0.0304176,0.054161,0.0252712,0.0538155,0
-0.0301354,0.0304207,0.0541718,0.0252739,0.0538215,0
