x,y,p_xx,p_xy,p_yy
0,0,1.00562,0,1.00562
0,0,1.00562,0,1.00562
0,0,1.00966,0,1.00966
0,0,1.00966,0,1.00966
0,0,1.01454,0,1.01454
0,0,1.01454,0,1.01454
0,0,1.0203,0,1.0203
0,0,1.0203,0,1.0203
0,0,1.02688,0,1.02688
0,0,1.02688,0,1.02688
0,0,1.03438,0,1.03438
0,0,1.03438,0,1.03438
0,0,1.04278,0,1.04278
0,0,1.04278,0,1.04278
0,0,1.05209,0,1.05209
0,0,1.05209,0,1.05209
0,0,1.06235,0,1.06235
0,0,1.06235,0,1.06235
0,0,1.07356,0,1.07356
0,0,1.07356,0,1.07356
0,0,1.08573,0,1.08573
0,0,1.08573,0,1.08573
0,0,1.09889,0,1.09889
0,0,1.09889,0,1.09889
0,0,1.11305,0,1.11305
0,0,1.11305,0,1.11305
0,0,1.12823,0,1.12823
0,0,1.12823,0,1.12823
0,0,1.14445,0,1.14445
0,0,1.14445,0,1.14445
0,0,1.16167,0,1.16167
0,0,1.16167,0,1.16167
0,0,1.18,0,1.18
0,0,1.18,0,1.18
0,0,1.19941,0,1.19941
0,0,1.19941,0,1.19941
0,0,1.2199,0,1.2199
0,0,1.2199,0,1.2199
0,0,1.24147,0,1.24147
0,0,1.24147,0,1.24147
0,0,1.26422,0,1.26422
0,0,1.26422,0,1.26422
0,0,1.28807,0,1.28807
0,0,1.28807,0,1.28807
0,0,1.31311,0,1.31311
0,0,1.31311,0,1.31311
0,0,1.33932,0,1.33932
0,0,1.33932,0,1.33932
0,0,1.36672,0,1.36672
0,0,1.36672,0,1.36672
0,0,1.39532,0,1.39532
0,0,1.39532,0,1.39532
0,0,1.42513,0,1.42513
0,0,1.42513,0,1.42513
0,0,1.45625,0,1.45625
0,0,1.45625,0,1.45625
0,0,1.48865,0,1.48865
0,0,1.48865,0,1.48865
0,0,1.52225,0,1.52225
0,0,1.52225,0,1.52225
0,0,1.55709,0,1.55709
0,0,1.55709,0,1.55709
0,0,1.59337,0,1.59337
0,0,1.59337,0,1.59337
0,0,1.63091,0,1.63091
0,0,1.63091,0,1.63091
0,0,1.66968,0,1.66968
0,0,1.66968,0,1.66968
0,0,1.70987,0,1.70987
0,0,1.70987,0,1.70987
0,0,1.75142,0,1.75142
0,0,1.75142,0,1.75142
0,0,1.79441,0,1.79441
0,0,1.79441,0,1.79441
0,0,1.83881,0,1.83881
0,0,1.83881,0,1.83881
0,0,1.88456,0,1.88456
0,0,1.88456,0,1.88456
0,0,1.93182,0,1.93182
0,0,1.93182,0,1.93182
0,0,1.98044,0,1.98044
0,0,1.98044,0,1.98044
0,0,2.03055,0,2.03055
0,0,2.03055,0,2.03055
0,0,2.08219,0,2.08219
0,0,2.08219,0,2.08219
0,0,2.13542,0,2.13542
0,0,2.13542,0,2.13542
0,0,2.18983,0,2.18983
0,0,2.18983,0,2.18983
0,0,2.24604,0,2.24604
0,0,2.24604,0,2.24604
0,0,2.30373,0,2.30373
0,0,2.30373,0,2.30373
0,0,2.36297,0,2.36297
0,0,2.36297,0,2.36297
0,0,2.42381,0,2.42381
0,0,2.42381,0,2.42381
0,0,2.48627,0,2.48627
0,0,2.48627,0,2.48627
0,0,2.55019,0,2.55019
0,0,2.55019,0,2.55019
0,0,2.61582,0,2.61582
0,0,2.61582,0,2.61582
0,0,2.68306,0,2.68306
0,0,2.68306,0,2.68306
0,0,2.75205,0,2.75205
0,0,2.75205,0,2.75205
0,0,2.8227,0,2.8227
0,0,2.8227,0,2.8227
0,0,2.89489,0,2.89489
0,0,2.89489,0,2.89489
0,0,2.96897,0,2.96897
0,0,2.96897,0,2.96897
0,0,3.04467,0,3.04467
