x,y,p_xx,p_xy,p_yy
-0.000509361,0.00111053,0.00251265,0,0.00248316
-0.000533364,0.00110226,0.00263777,0,0.00248445
-0.000519665,0.00109401,0.00282728,0,0.00248288
-0.000540608,0.00108331,0.00299438,0,0.00248285
-0.000583606,0.00107383,0.00310881,0,0.00248207
-0.000566767,0.00105775,0.00322342,0,0.00248519
-0.000586505,0.0010427,0.00326885,0,0.00248242
-0.000559573,0.00102859,0.00336131,0,0.00248257
-0.00049747,0.00102407,0.00348018,0,0.00248186
-0.000446637,0.00101579,0.00356573,0,0.00248753
-0.00036439,0.0010066,0.00365063,0,0.00248885
-0.000327498,0.000998851,0.00374183,0,0.00248519
-0.000302813,0.000993921,0.00389156,0,0.00248964
-0.000308598,0.000994069,0.00395309,0,0.00249117
-0.000299616,0.000985699,0.00404376,0,0.00249514
-0.000274554,0.000991051,0.00420474,0,0.00249539
-0.000157707,0.000999195,0.00429314,0,0.0024966
1.72363e-05,0.00100666,0.00438041,0,0.00250046
0.000139265,0.00101752,0.00450002,0,0.00249679
0.00019179,0.00103436,0.00461564,0,0.00249989
0.000283031,0.00104583,0.00474019,0,0.0025008
0.000390693,0.00105661,0.00479038,0,0.00249864
0.000544154,0.00106413,0.00487543,0,0.0024996
0.000625613,0.0010642,0.00499201,0,0.00250181
0.000743745,0.00106531,0.00521653,0,0.00249912
0.000860687,0.00106185,0.00536099,0,0.00249557
0.000952495,0.00106125,0.00539434,0,0.00249421
0.00106178,0.00105784,0.00554924,0,0.00249317
0.00108302,0.00105304,0.00561988,0,0.00249969
0.00109369,0.00104715,0.00569087,0,0.00250121
0.00111001,0.00104184,0.00576492,0,0.0024998
0.00111411,0.00103204,0.00589079,0,0.00250026
0.00112776,0.00102438,0.0060547,0,0.00250362
0.00117015,0.00101995,0.00614915,0,0.00250061
0.00117865,0.00101995,0.00625489,0,0.00250096
0.00113623,0.00102061,0.00630795,0,0.00250474
0.00105021,0.00102448,0.0063908,0,0.00250464
0.000949976,0.00102766,0.00654953,0,0.00250537
0.000876399,0.00102804,0.0066479,0,0.00250671
0.000863735,0.00102505,0.00667815,0,0.00251332
0.000809059,0.00102815,0.00681171,0,0.00251536
0.000790094,0.00103137,0.00690432,0,0.00252164
0.000721629,0.00103973,0.00708274,0,0.00252603
0.000687751,0.00104366,0.00721406,0,0.00252359
0.000721985,0.00104462,0.00739432,0,0.0025237
0.000735906,0.00105298,0.00750774,0,0.00252929
0.000821202,0.00106437,0.00759449,0,0.00252957
0.000869416,0.00108412,0.00763016,0,0.00253163
0.000976501,0.00109774,0.0077517,0,0.00252939
0.000941584,0.0011059,0.00786968,0,0.00252899
0.000924745,0.00111177,0.00795931,0,0.00252677
0.000927514,0.00111513,0.00810154,0,0.00252619
0.000992461,0.00111262,0.00821361,0,0.00252445
0.00110229,0.00111599,0.00835995,0,0.00252678
0.00120752,0.00111531,0.00853756,0,0.00253099
0.0013074,0.00111685,0.00854885,0,0.00253693
0.0014115,0.00111703,0.0086037,0,0.00254256
0.001527,0.00111817,0.0086189,0,0.00254495
0.00170556,0.0011224,0.00875753,0,0.00254262
0.00192059,0.00112829,0.00874635,0,0.00254869
0.002184,0.00114235,0.00885487,0,0.00254272
0.00244189,0.00115491,0.00896197,0,0.00254619
0.00263931,0.00115946,0.00911233,0,0.0025411
0.0027917,0.00115944,0.00919786,0,0.00254264
0.00293652,0.00115915,0.00927069,0,0.00254608
0.00300352,0.00115511,0.00936722,0,0.00254827
0.00291108,0.00114585,0.0094645,0,0.00254714
0.0028547,0.00114042,0.0095268,0,0.00254867
0.0028389,0.00113534,0.00956328,0,0.00254846
0.00282122,0.0011299,0.00963154,0,0.00254719
0.00276382,0.00112006,0.00969535,0,0.00255141
0.00271132,0.00111379,0.00976709,0,0.00255281
0.00264132,0.00111148,0.00993262,0,0.00255097
0.00261394,0.00111297,0.00994371,0,0.00255398
0.00265152,0.00111132,0.00998708,0,0.00255447
0.00274399,0.00111107,0.0101019,0,0.0025532
0.00283603,0.00110889,0.0102139,0,0.00255572
0.0029449,0.00110615,0.0103988,0,0.0025594
0.00300638,0.00110905,0.010462,0,0.00256038
0.00303328,0.00111183,0.0105496,0,0.00256056
0.00304594,0.00111821,0.0106609,0,0.00255558
0.00315164,0.00112548,0.010694,0,0.00256242
0.00324132,0.00113532,0.0107879,0,0.00255933
0.0033884,0.00114947,0.010877,0,0.0025621
0.00343983,0.00116239,0.0109646,0,0.00256232
0.00351243,0.00116937,0.0110926,0,0.002563
0.00361818,0.00117389,0.0112484,0,0.00256957
0.00372331,0.00117919,0.0113764,0,0.00257093
0.003794,0.00118699,0.0115887,0,0.00256568
0.00397392,0.00119463,0.011684,0,0.0025672
0.00417236,0.00119483,0.0117342,0,0.00256745
0.0043927,0.00119424,0.0116904,0,0.0025706
0.00461145,0.0011885,0.011838,0,0.00257111
0.00481246,0.00118112,0.0119297,0,0.00257621
0.00500026,0.00116728,0.0120557,0,0.0025779
0.00512827,0.00114865,0.0122369,0,0.00257748
0.00523486,0.00113684,0.0122722,0,0.00257988
0.00524498,0.00111858,0.012281,0,0.00257644
0.00524727,0.00109386,0.0124369,0,0.00257481
0.00518372,0.00107282,0.0125176,0,0.00257554
0.0051214,0.0010531,0.0126478,0,0.00258048
0.00508937,0.00103886,0.0126383,0,0.00257997
0.00504879,0.00102175,0.0126764,0,0.00257989
0.00506053,0.00101049,0.012678,0,0.00257912
0.00504829,0.00100043,0.0128054,0,0.00258469
0.00510589,0.00099361,0.0128161,0,0.00258519
0.00516994,0.000989518,0.0129748,0,0.00258646
0.0052629,0.000979224,0.0129998,0,0.0025894
0.00544112,0.000961512,0.0130289,0,0.00259162
0.00560528,0.000945282,0.0131255,0,0.00259309
0.00585077,0.000937237,0.0132105,0,0.00259601
0.00602662,0.000934643,0.0133143,0,0.0025939
0.0061892,0.000921317,0.0134475,0,0.00258809
0.00635121,0.000911138,0.0134911,0,0.00259245
0.00650186,0.000907138,0.0135896,0,0.00259045
0.00668394,0.00090406,0.0137051,0,0.00259037
0.00684951,0.000902573,0.013789,0,0.0025901
0.00705257,0.000898728,0.0137671,0,0.00259202
0.00719547,0.000892725,0.0138823,0,0.00259104
0.00726631,0.000885086,0.0140221,0,0.00259624
0.00735914,0.000873715,0.0141791,0,0.00259186
0.00748473,0.000862569,0.0142951,0,0.00259257
0.00748394,0.000858348,0.014377,0,0.00259048
0.00740801,0.000854456,0.014458,0,0.00258835
0.00735052,0.000850272,0.0145212,0,0.00259239
0.00738548,0.000848316,0.0146414,0,0.00259157
0.00739512,0.000842371,0.0148047,0,0.00259
0.00738386,0.000839551,0.0148381,0,0.00259272
0.00740791,0.000838059,0.0150109,0,0.00259422
0.00745717,0.000837434,0.0152087,0,0.00260163
0.00751832,0.000831691,0.0153298,0,0.00259924
0.00761958,0.000821378,0.0153074,0,0.00260202
0.00773159,0.000807404,0.0154397,0,0.00260839
0.00772459,0.000791903,0.0155848,0,0.00260987
0.00774262,0.0007726,0.0155827,0,0.00261097
0.00777782,0.000755837,0.015622,0,0.00261313
0.00783528,0.000743097,0.0157069,0,0.00261154
0.00789359,0.000742596,0.0158646,0,0.00261009
0.00789526,0.000747406,0.0159636,0,0.00261589
0.0078578,0.000755276,0.0159652,0,0.00262026
0.00786176,0.000761562,0.0160072,0,0.00262136
0.00787121,0.000761903,0.0160324,0,0.00262507
0.00793284,0.000757765,0.0161105,0,0.0026288
0.00795822,0.000759395,0.0161386,0,0.00262777
0.00790387,0.000760962,0.016233,0,0.00262531
0.00795918,0.00077029,0.0163009,0,0.00262927
0.00797227,0.000774199,0.0164483,0,0.00262342
0.00801526,0.000778048,0.0163916,0,0.00262165
0.00801174,0.000790776,0.0165247,0,0.00261918
0.00800918,0.000802185,0.0166939,0,0.00261738
0.00802434,0.00081907,0.0168262,0,0.00261597
0.00799648,0.000834264,0.0169527,0,0.00261233
0.00796803,0.000846968,0.0170711,0,0.00261422
0.00796208,0.000859693,0.0172207,0,0.00261992
0.00802512,0.000876732,0.0173285,0,0.0026219
0.00810798,0.000890471,0.0175259,0,0.00262381
0.00814813,0.000896787,0.0177228,0,0.00262428
0.00814682,0.000901401,0.0177944,0,0.00262759
0.00817392,0.000906257,0.0179029,0,0.00262866
0.00821693,0.000914006,0.018131,0,0.00263215
0.00824764,0.000918129,0.0182225,0,0.00263467
0.00826664,0.000923112,0.0182924,0,0.00263679
0.00828308,0.000941903,0.0183274,0,0.0026332
0.00830726,0.000956824,0.0183399,0,0.00263143
0.00827905,0.000961096,0.0185145,0,0.00263734
0.00821898,0.000965324,0.0187591,0,0.00263799
0.00811806,0.000973421,0.0188874,0,0.00263856
0.0080323,0.000978365,0.018933,0,0.00263416
0.00793212,0.000984819,0.0190618,0,0.00263956
0.00788886,0.000981534,0.0191943,0,0.00264124
0.00783852,0.000985501,0.0193087,0,0.00264334
0.00777395,0.000985304,0.019571,0,0.00264014
0.00774708,0.000983324,0.0196892,0,0.00264683
0.00770772,0.000985172,0.0197453,0,0.00265299
0.00756314,0.000986547,0.0197892,0,0.00264926
0.00748572,0.000986523,0.019883,0,0.00265317
0.0074162,0.000989044,0.019965,0,0.00265294
0.00743317,0.000987629,0.0203032,0,0.00265861
0.00745116,0.000986575,0.0203117,0,0.00266121
0.0074945,0.000977855,0.0205611,0,0.0026628
0.00762824,0.000971698,0.0207348,0,0.00265792
0.00774934,0.000976663,0.0208786,0,0.00266392
0.00790908,0.000979801,0.0210352,0,0.00266644
0.00794533,0.000983035,0.0211384,0,0.00266719
0.00800935,0.000981081,0.0212425,0,0.00266355
0.008063,0.000976377,0.0213873,0,0.00266629
0.00809634,0.00096965,0.0215591,0,0.00266368
0.00806259,0.000968234,0.0216824,0,0.00266276
