x,y
-1.99463,-0.499991
-1.99463,-0.499991
-1.99463,-0.499991
-1.99463,-0.499991
-1.99463,-0.499991
-1.99462,-0.499991
-1.99462,-0.499991
-1.99462,-0.499991
-1.99462,-0.499991
-1.99462,-0.499991
-1.99462,-0.499991
-1.99462,-0.499991
-1.99462,-0.499991
-1.99462,-0.499991
-1.99461,-0.499991
-1.99461,-0.499991
-1.99461,-0.499991
-1.99461,-0.499991
-1.99461,-0.499991
-1.99461,-0.499991
-1.99461,-0.499991
-1.99461,-0.499991
-1.9946,-0.499991
-1.9946,-0.499991
-1.9946,-0.499991
-1.9946,-0.499991
-1.9946,-0.499991
-1.9946,-0.499991
-1.9946,-0.499991
-1.9946,-0.499991
-1.99459,-0.499991
-1.99459,-0.499991
-1.99459,-0.499991
-1.99459,-0.499991
-1.99459,-0.499991
-1.99459,-0.499991
-1.99459,-0.499991
-1.99459,-0.499991
-1.99458,-0.499991
-1.99458,-0.499991
-1.99458,-0.499991
-1.99458,-0.499991
-1.99458,-0.499991
-1.99458,-0.499991
-1.99458,-0.499991
-1.99458,-0.499991
-1.99458,-0.499991
-1.99457,-0.499991
-1.99457,-0.499991
-1.99457,-0.499991
-1.99457,-0.499991
-1.99457,-0.499991
-1.99457,-0.499991
-1.99457,-0.499991
-1.99457,-0.499991
-1.99456,-0.499991
-1.99456,-0.499991
-1.99456,-0.499991
-1.99456,-0.499991
-1.99456,-0.499991
-1.99456,-0.499991
-1.99456,-0.499991
-1.99456,-0.499991
-1.99455,-0.499991
-1.99455,-0.499991
-1.99455,-0.499991
-1.99455,-0.499991
-1.99455,-0.499991
-1.99455,-0.499991
-1.99455,-0.499991
-1.99455,-0.499991
-1.99454,-0.499991
-1.99454,-0.499991
-1.99454,-0.499991
-1.99454,-0.499991
-1.99454,-0.499991
-1.99454,-0.499991
-1.99454,-0.499991
-1.99454,-0.499991
-1.99454,-0.499991
-1.99453,-0.499991
-1.99453,-0.499991
-1.99453,-0.499991
-1.99453,-0.499991
-1.99453,-0.499991
-1.99453,-0.499991
-1.99453,-0.499991
-1.99453,-0.499991
-1.99452,-0.499991
-1.99452,-0.499991
-1.99452,-0.499991
-1.99452,-0.499991
-1.99452,-0.499991
-1.99452,-0.499991
-1.99452,-0.499991
-1.99452,-0.499991
-1.99451,-0.499991
-1.99451,-0.499991
-1.99451,-0.499991
-1.99451,-0.499991
-1.99451,-0.499991
-1.99451,-0.499991
-1.99451,-0.499991
-1.99451,-0.499991
-1.99451,-0.499991
-1.9945,-0.499991
-1.9945,-0.499991
-1.9945,-0.499991
-1.9945,-0.499991
-1.9945,-0.499991
-1.9945,-0.499991
-1.9945,-0.499991
-1.9945,-0.499991
-1.99449,-0.499991
-1.99449,-0.499991
-1.99449,-0.499991
-1.99449,-0.499991
-1.99449,-0.499991
-1.99449,-0.499991
-1.99449,-0.499991
-1.99449,-0.499991
-1.99448,-0.499991
-1.99448,-0.499991
-1.99448,-0.499991
-1.99448,-0.499991
-1.99448,-0.499991
-1.99448,-0.499991
-1.99448,-0.499991
-1.99448,-0.499991
-1.99447,-0.499991
-1.99447,-0.499991
-1.99447,-0.499991
-1.99447,-0.499991
-1.99447,-0.499991
-1.99447,-0.499991
-1.99447,-0.499991
-1.99447,-0.499991
-1.99447,-0.499991
-1.99446,-0.499991
-1.99446,-0.499991
-1.99446,-0.499991
-1.99446,-0.499991
-1.99446,-0.499991
-1.99446,-0.499991
-1.99446,-0.499991
-1.99446,-0.499991
-1.99445,-0.499991
-1.99445,-0.499991
-1.99445,-0.499991
-1.99429,-0.49999
-1.99411,-0.49999
-1.99394,-0.499989
-1.99361,-0.499988
-1.99327,-0.499987
-1.99292,-0.499985
-1.99258,-0.499984
-1.99224,-0.499983
-1.9919,-0.499981
-1.99156,-0.49998
-1.99122,-0.499979
-1.99071,-0.499977
-1.9902,-0.499976
-1.98969,-0.499974
-1.98918,-0.499972
-1.9885,-0.499969
-1.98782,-0.499967
-1.98714,-0.499964
-1.98646,-0.499962
-1.98578,-0.49996
-1.9851,-0.499957
-1.98442,-0.499955
-1.98373,-0.499952
-1.98305,-0.49995
-1.98237,-0.499947
-1.98169,-0.499945
-1.98101,-0.499942
-1.98033,-0.49994
-1.97965,-0.499937
-1.97897,-0.499935
-1.97829,-0.499932
-1.9776,-0.49993
-1.97692,-0.499928
-1.97624,-0.499925
-1.97556,-0.499923
-1.97488,-0.49992
-1.9742,-0.499918
-1.97352,-0.499915
-1.97284,-0.499913
-1.97215,-0.49991
-1.97147,-0.499908
-1.97079,-0.499905
-1.97011,-0.499903
-1.96943,-0.4999
-1.96875,-0.499898
-1.96807,-0.499896
-1.96739,-0.499893
-1.9667,-0.49989
-1.96602,-0.499888
-1.96534,-0.499885
-1.96466,-0.499883
-1.96398,-0.49988
-1.9633,-0.499878
-1.96262,-0.499876
-1.96194,-0.499873
-1.96126,-0.499871
-1.96057,-0.499868
-1.95989,-0.499866
-1.95921,-0.499863
-1.95853,-0.499861
-1.95785,-0.499858
-1.95717,-0.499856
-1.95649,-0.499853
-1.95564,-0.49985
-1.95479,-0.499847
-1.95394,-0.499844
-1.95292,-0.49984
-1.9519,-0.499836
-1.95072,-0.499832
-1.94952,-0.499828
-1.94916,-0.499827
-1.94769,-0.499821
-1.94616,-0.499816
-1.94447,-0.499809
-1.94277,-0.499803
-1.9409,-0.499796
-1.93887,-0.499789
-1.93682,-0.499782
-1.93478,-0.499774
-1.93274,-0.499767
-1.9307,-0.499759
